dateTime,temperature,humidity
2019-01-30 07:29:08.240417,23.25,28.44
2019-01-30 07:29:15.591443,23.27,28.49
2019-01-30 07:29:22.939631,23.26,28.50
2019-01-30 07:29:30.286753,23.26,28.46
2019-01-30 07:29:37.637731,23.24,28.45
2019-01-30 07:29:44.981788,23.24,28.45
2019-01-30 07:29:52.329828,23.26,28.42
2019-01-30 07:29:59.677878,23.26,28.51
2019-01-30 07:30:07.027936,23.26,28.56
2019-01-30 07:30:14.377002,23.29,28.52
2019-01-30 07:30:21.726212,23.28,28.42
2019-01-30 07:30:29.077224,23.28,28.36
2019-01-30 07:30:36.428274,23.29,28.37
2019-01-30 07:30:43.774349,23.27,28.36
2019-01-30 07:30:51.123395,23.27,28.44
2019-01-30 07:30:58.473414,23.28,28.51
2019-01-30 07:31:05.827481,23.28,28.42
2019-01-30 07:31:13.173543,23.30,28.39
2019-01-30 07:31:20.522628,23.28,28.28
2019-01-30 07:31:27.868751,23.29,28.28
2019-01-30 07:31:35.219825,23.28,28.30
2019-01-30 07:31:42.570903,23.30,28.29
2019-01-30 07:31:49.918982,23.27,28.26
2019-01-30 07:31:57.267984,23.31,28.31
2019-01-30 07:32:04.612056,23.31,28.35
2019-01-30 07:32:11.961091,23.31,28.28
2019-01-30 07:32:19.307163,23.30,28.29
2019-01-30 07:32:26.654222,23.30,28.31
2019-01-30 07:32:34.001353,23.32,28.32
2019-01-30 07:32:41.346499,23.31,28.26
2019-01-30 07:32:48.694554,23.34,28.36
2019-01-30 07:32:56.042565,23.35,28.19
2019-01-30 07:33:03.388609,23.35,28.14
2019-01-30 07:33:10.739639,23.35,28.16
2019-01-30 07:33:18.087673,23.38,28.20
2019-01-30 07:33:25.435714,23.37,28.13
2019-01-30 07:33:32.781947,23.38,28.18
2019-01-30 07:33:40.127957,23.36,28.16
2019-01-30 07:33:47.476013,23.38,28.22
2019-01-30 07:33:54.823102,23.41,28.29
2019-01-30 07:34:02.170198,23.41,28.16
2019-01-30 07:34:09.518199,23.40,28.08
2019-01-30 07:34:16.866264,23.42,28.10
2019-01-30 07:34:24.217283,23.39,28.05
2019-01-30 07:34:31.565321,23.40,28.02
2019-01-30 07:34:38.914550,23.40,28.05
2019-01-30 07:34:46.258622,23.40,28.08
2019-01-30 07:34:53.605617,23.41,28.08
2019-01-30 07:35:00.950721,23.41,28.05
2019-01-30 07:35:08.298749,23.40,28.03
2019-01-30 07:35:15.644763,23.40,28.00
2019-01-30 07:35:22.990867,23.40,28.03
2019-01-30 07:35:30.335864,23.40,28.04
2019-01-30 07:35:37.682053,23.41,28.08
2019-01-30 07:35:45.032089,23.40,28.03
2019-01-30 07:35:52.382205,23.41,28.07
2019-01-30 07:35:59.729202,23.40,28.03
2019-01-30 07:36:07.071246,23.40,28.07
2019-01-30 07:36:14.419310,23.38,28.10
2019-01-30 07:36:21.765377,23.39,28.07
2019-01-30 07:36:29.114463,23.39,28.07
2019-01-30 07:36:36.462622,23.37,28.09
2019-01-30 07:36:43.808641,23.37,28.15
2019-01-30 07:36:51.157698,23.38,28.17
2019-01-30 07:36:58.507737,23.38,28.15
2019-01-30 07:37:05.857800,23.38,28.28
2019-01-30 07:37:13.204845,23.38,28.26
2019-01-30 07:37:20.552861,23.39,28.28
2019-01-30 07:37:27.899939,23.37,28.30
2019-01-30 07:37:35.250183,23.37,28.35
2019-01-30 07:37:42.596182,23.36,28.40
2019-01-30 07:37:49.942254,23.37,28.40
2019-01-30 07:37:57.288303,23.37,28.47
2019-01-30 07:38:04.632349,23.37,28.45
2019-01-30 07:38:11.978444,23.38,28.41
2019-01-30 07:38:19.326484,23.36,28.41
2019-01-30 07:38:26.672540,23.37,28.42
2019-01-30 07:38:34.018698,23.37,28.40
2019-01-30 07:38:41.371728,23.37,28.39
2019-01-30 07:38:48.714805,23.35,28.35
2019-01-30 07:38:56.061845,23.35,28.39
2019-01-30 07:39:03.406919,23.35,28.44
2019-01-30 07:39:10.753932,23.35,28.48
2019-01-30 07:39:18.101985,23.32,28.52
2019-01-30 07:39:25.449036,23.32,28.48
2019-01-30 07:39:32.795245,23.37,28.54
2019-01-30 07:39:40.144293,23.37,28.52
2019-01-30 07:39:47.488330,23.38,28.45
2019-01-30 07:39:54.838403,23.36,28.43
2019-01-30 07:40:02.186513,23.35,28.43
2019-01-30 07:40:09.534529,23.31,28.42
2019-01-30 07:40:16.883520,23.31,28.51
2019-01-30 07:40:24.231605,23.31,28.50
2019-01-30 07:40:31.582785,23.30,28.52
2019-01-30 07:40:38.927831,23.27,28.53
2019-01-30 07:40:46.278928,23.28,28.61
2019-01-30 07:40:53.625941,23.31,28.61
2019-01-30 07:41:00.972000,23.31,28.58
2019-01-30 07:41:08.319041,23.29,28.55
2019-01-30 07:41:15.669069,23.29,28.57
2019-01-30 07:41:23.016127,23.32,28.58
2019-01-30 07:41:30.364291,23.29,28.47
2019-01-30 07:41:37.712348,23.26,28.52
2019-01-30 07:41:45.058430,23.28,28.62
2019-01-30 07:41:52.405499,23.26,28.54
2019-01-30 07:41:59.755523,23.27,28.61
2019-01-30 07:42:07.104602,23.27,28.61
2019-01-30 07:42:14.452617,23.27,28.63
2019-01-30 07:42:21.800667,23.27,28.62
2019-01-30 07:42:29.145714,23.26,29.14
2019-01-30 07:42:36.498928,23.26,28.89
2019-01-30 07:42:43.848222,23.24,28.90
