dateTime,temperature,pressure
2019-01-30 07:40:40.929326,23.95,100156.31
2019-01-30 07:40:48.280370,23.95,100160.30
2019-01-30 07:40:55.627377,23.94,100157.52
2019-01-30 07:41:02.973625,23.95,100159.15
2019-01-30 07:41:10.320658,23.95,100157.48
2019-01-30 07:41:17.670720,23.94,100154.88
2019-01-30 07:41:25.017741,23.95,100159.98
2019-01-30 07:41:32.365786,23.93,100158.72
2019-01-30 07:41:39.713956,23.93,100156.88
2019-01-30 07:41:47.059898,23.92,100159.39
2019-01-30 07:41:54.406987,23.92,100158.39
2019-01-30 07:42:01.757151,23.92,100160.72
2019-01-30 07:42:09.106240,23.92,100162.23
2019-01-30 07:42:16.454276,23.92,100161.23
2019-01-30 07:42:23.802309,23.91,100162.11
2019-01-30 07:42:31.147344,23.90,100159.79
2019-01-30 07:42:38.500405,23.91,100160.11
2019-01-30 07:42:45.849474,23.89,100158.64
